,,Concentration at different Transporter density,,,
radius (m),radius (mm),7.00E-07,7.00E-06,7.00E-05,7.00E-04
0,0,24.65326676,24.58546843,24.56164666,24.55098077
1.50E-04,0.15,24.65163036,24.57060211,24.50974137,24.51794759
1.88E-04,0.188013614,23.42522232,18.22055291,15.52660524,15.23189683
2.14E-04,0.213824867,22.59249909,13.90881184,9.426609483,8.925935326
2.39E-04,0.2394802,21.7649594,9.623761712,3.363862053,2.658197495
2.50E-04,0.25,37.49396471,194.8000914,276.6532174,285.9448565
2.60E-04,0.259999788,36.92303627,191.8443986,272.4674558,281.6198846
2.70E-04,0.27,36.35223949,188.8893433,268.2825057,277.2957161
2.95E-04,0.294550379,34.98292279,181.7996387,258.2415277,266.9208636
2.96E-04,0.296314426,34.88454267,181.2902673,257.5201103,266.1754574
2.98E-04,0.298368849,34.77308167,180.7131007,256.702615,265.3307845
3.23E-04,0.323136254,33.42856424,173.7509842,246.8415813,255.1419367
3.46E-04,0.345601884,32.24488771,167.6209511,238.1584002,246.170101
3.54E-04,0.354313476,31.78624542,165.2457087,234.793842,242.6936932
3.61E-04,0.361375707,31.42619523,163.3808007,232.1519397,239.9639471
3.87E-04,0.386710165,30.1398077,156.7177973,222.7128336,230.2109973
4.12E-04,0.41186501,28.90492048,150.320605,213.6494014,220.8460931
4.18E-04,0.418159134,28.59572117,148.718846,211.3800713,218.5012836
4.27E-04,0.42718042,28.1700039,146.5131096,208.2546872,215.2718858
4.56E-04,0.455751842,26.82074564,139.5222855,198.3491204,205.0366536
4.76E-04,0.475772315,25.9191603,134.849997,191.7278352,198.1948112
4.97E-04,0.496844375,24.96965055,129.9294012,184.7547215,190.9894407
5.20E-04,0.520030413,23.97641844,124.7811297,177.4578654,183.449305
5.41E-04,0.541456337,23.06159589,120.0391745,170.7367867,176.5041107
5.58E-04,0.557650302,22.40723832,116.646514,165.9273069,171.5340619
5.92E-04,0.592146998,21.0229807,109.4694071,155.7528212,161.0198851
6.44E-04,0.644256393,19.0659615,99.31970512,141.3611547,146.147028
6.49E-04,0.649110081,18.88363509,98.37409418,140.0203261,144.7613628
6.70E-04,0.670238603,18.17855655,94.71544236,134.8304758,139.3975585
7.55E-04,0.75462861,15.35048276,80.04086529,114.0147122,117.8841559
7.66E-04,0.765601246,14.99484864,78.19528879,111.3965144,115.1781722
7.83E-04,0.782871845,14.52057622,75.7322222,107.9002172,111.564307
9.15E-04,0.915168852,10.96126322,57.24538019,81.65604081,84.43713089
0.001039104,1.039103505,8.432067258,44.09269558,62.96483551,65.11481224
0.001091326,1.091325881,7.355905439,38.49668431,55.0128485,56.89442471
0.001148394,1.148394318,6.518853901,34.13771769,48.81099123,50.4826644
0.001256097,1.256096777,4.975507875,26.09977034,37.37365982,38.65805455
0.00143531,1.43530961,3.312327463,17.4256439,25.01619815,25.88173796
0.001484313,1.484312542,2.888815261,15.21623529,21.86784159,22.6265866
0.001540407,1.540406929,2.715632496,14.31159453,20.57730462,21.29225942
0.0018,1.8,1.916900135,10.1394943,14.6257566,15.13884424
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
