,,Concentration at different unbinding rate (1/s),,,
radius (m),radius (mm),1.00E-03,1.00E-02,1.00E-01,1.00E+00
0,0,24.63748817,24.55826681,24.56155787,24.55093693
1.50E-04,0.15,24.62449828,24.52038093,24.5098906,24.52822789
1.88E-04,0.188013614,21.99693684,15.67424408,15.52670759,15.52898838
2.14E-04,0.213824867,20.21258655,9.667390012,9.426676162,9.417837482
2.39E-04,0.2394802,18.43841365,3.697325004,3.363885982,3.343542926
2.50E-04,0.25,68.4676675,250.1707909,276.6534905,278.9095271
2.60E-04,0.259999788,67.24544501,246.058307,272.4677197,274.7202978
2.70E-04,0.27,66.02357365,241.9467671,268.2827604,270.5318713
2.95E-04,0.294550379,63.10625766,232.1058099,258.2417611,260.481085
2.96E-04,0.296314426,62.89666482,231.398774,257.5203422,259.7589624
2.98E-04,0.298368849,62.66058321,230.5999397,256.7028452,258.9405201
3.23E-04,0.323136254,59.81245143,220.9633882,246.8417915,249.0681104
3.46E-04,0.345601884,57.32123368,212.5055614,238.1585937,240.3731596
3.54E-04,0.354313476,56.35612229,209.2286136,234.794029,237.0040192
3.61E-04,0.361375707,55.60388173,206.6647173,232.1521219,234.3579222
3.87E-04,0.386710165,52.91872456,197.5084784,222.7129988,224.9035788
4.12E-04,0.41186501,50.36088515,188.7503639,213.6495513,215.823288
4.18E-04,0.418159134,49.72033588,186.5573097,211.3802174,213.549752
4.27E-04,0.42718042,48.84663965,183.5509689,208.2548284,210.4176383
4.56E-04,0.455751842,46.07713398,174.0219604,198.3492461,200.4907733
4.76E-04,0.475772315,44.24742588,167.6878792,191.7279516,193.8528054
4.97E-04,0.496844375,42.32016323,161.016735,184.7548279,186.862181
5.20E-04,0.520030413,40.32886088,154.0778807,177.4579624,179.5440636
5.41E-04,0.541456337,38.49628943,147.6891474,170.7368752,172.8031878
5.58E-04,0.557650302,37.2033603,143.1479549,165.9273899,167.977335
5.92E-04,0.592146998,34.47282514,133.5489045,155.7528927,157.7676989
6.44E-04,0.644256393,30.676489,120.080796,141.3612118,143.3181331
6.49E-04,0.649110081,30.32279616,118.8259977,140.020382,141.9719021
6.70E-04,0.670238603,28.99560194,114.0392853,134.8305275,136.7557181
7.55E-04,0.75462861,23.66620144,94.83003959,114.0147472,115.8351564
7.66E-04,0.765601246,23.00162404,92.42368404,111.3965474,113.2030264
7.83E-04,0.782871845,22.15185604,89.27468198,107.9002481,109.6827309
9.15E-04,0.915168852,15.80513922,65.6921784,81.65605741,83.25315059
0.001039104,1.039103505,11.58823527,49.43020417,62.96484537,64.38067908
0.001091326,1.091325881,9.789283351,42.50318934,55.01285545,56.35248241
0.001148394,1.148394318,8.490371835,37.29059886,48.81099675,50.07175014
0.001256097,1.256096777,6.106500156,27.6990085,37.37366285,38.48646239
0.00143531,1.43530961,3.705873633,17.66972723,25.01619938,25.93110441
0.001484313,1.484312542,3.102098698,15.12949933,21.86784241,22.73052336
0.001540407,1.540406929,2.869244072,14.11727545,20.57730532,21.41494554
0.0018,1.8,1.795330042,9.449208912,14.62575678,15.34800532
,,,,,
,,,,,
,,,,,
